index,HMBCX,MNMCX,PATCX,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,PB09,PB11,PB12,PB14,PB15,PB16,PSGCX,PB19,PB10,PB13,PB18
2,0.9229221170579658,0.7515170428341089,0.9498135896623313,0.9436470419652729,0.8256929507193037,0.9121377301810182,0.7439063398054379,0.7830773935459593,0.8873656309487861,0.9258906818601514,0.9705999590682807,0.9448510753027228,0.9018965960717147,0.7960997432829432,0.2501454226050787,0.819995328342958,0.8222219129012711,0.910288771039985,nan,nan,nan,nan
2_dis,111.97523650425397,203.91210677805807,112.6848396545338,80.66523696381162,109.21256312252548,160.59967841723696,201.0936901343421,252.69127645525526,222.67022296486664,136.97547278137864,109.06268780548224,131.91290669049602,143.65949418499224,275.98730147234284,441.04663291398913,274.7362422284148,286.3863051207678,175.33032644399674,nan,nan,nan,nan
3,0.8661911736838255,0.8616762633319829,0.8310033152801867,0.9378761373725194,0.714551806178987,0.7085245687857866,0.5049987196177289,0.650303520346184,0.6088946157415327,0.7364830500041486,0.9173826455407784,0.878830208790254,0.9148140101333786,0.8644819961331233,nan,0.6311895723124539,0.9492417185445323,0.8965050502113613,nan,nan,nan,nan
3_dis,218.51167924188775,252.3622690027129,238.8454326898299,190.82316747098133,230.0179005226289,259.5019767968465,304.5348146923962,346.6197330213616,300.7611258546197,248.37852602394267,170.3729223647398,213.67686095616764,218.12474182665161,336.07866584009724,nan,341.66527197107825,312.6005101138924,260.52142053887246,nan,nan,nan,nan
8,nan,0.6105027274364516,0.809407713944214,0.8404402662972514,0.831921056078545,0.7387588969239611,0.45892440888905817,0.7306619500086721,0.29963664964841785,0.7209274453503162,0.7338165382289294,0.8201071999425481,0.7896684814731593,0.7748655409959946,nan,0.9431365637006958,0.841438781430567,0.7514571858961596,nan,nan,nan,nan
8_dis,nan,196.13951905388336,67.71239653578309,73.22187619479132,81.84106330571507,149.55025475127195,181.91885718632338,237.10484908470835,219.77600895614407,117.57215506207633,117.55431739924548,138.2118256527044,131.07862643919646,255.2666432022442,nan,274.6766139366893,281.9142470259814,149.4964203168987,nan,nan,nan,nan
73,0.766513510695491,0.7501074408765815,nan,0.85397043912647,0.6600443359123742,0.7061748309381637,0.6257771643135404,0.6322478628153624,0.6751715214657783,0.795308616117947,0.8223542559579057,0.7580440201925568,0.7797037324371708,0.6366374684470657,nan,nan,0.656479513641544,nan,nan,nan,nan,nan
73_dis,62.26412431655059,155.91095363133618,nan,96.33046151481422,116.4707715733614,189.8489867112182,223.15379458574762,279.09933584020246,260.92786301710885,156.68027316932333,94.38004830489979,173.1720763846162,95.13275375358712,216.06966710333614,nan,nan,240.17220790912617,nan,nan,nan,nan,nan
90,0.9061830596475156,nan,0.9400985645219289,0.9137330150859553,0.9249870418972707,0.8133994670575234,0.5048984472060037,0.5972015848271666,0.5727275563770018,0.854565826868845,0.954320985282211,0.8891235626080722,0.9053307426938527,0.7207383834366977,nan,0.5346022947834972,0.4701019302789339,0.9094044070481595,nan,nan,nan,nan
90_dis,100.49292123083656,nan,71.53962115935695,143.00628410102942,122.1050827701888,192.54281612951965,203.19463157729874,256.8172992537903,264.36327187907096,155.75376789597686,176.78945217082082,206.9701150810853,150.07389405217114,225.91513827606784,nan,318.6250310809667,284.2538609729863,131.73743631095002,nan,nan,nan,nan
122,nan,nan,nan,0.8204782323785422,0.8476853864715306,0.903459496761961,0.8371461178022899,0.9541600337805822,0.9522020299856425,0.9193981177504839,0.7666653029713688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
122_dis,nan,nan,nan,260.1306587887501,217.25997311505165,150.1042067446095,105.52504559555354,57.98413785740857,113.04248048611692,175.5670508385008,365.0220019579156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
206,0.7624192387903985,0.71118264300066,0.49543212785201235,0.6741845277603924,0.7314062818704895,0.8001428818822698,0.9080947558538601,nan,0.8067239491031002,0.819247382385635,0.6375648087443555,0.8519950320421986,0.7087850226258081,nan,nan,0.6298960423756788,nan,0.5295010002624835,nan,nan,nan,nan
206_dis,260.4998801335484,390.31244531123644,197.4320292426401,195.45648101623067,150.76442497475344,93.50574985905028,49.490490523207725,nan,92.3511790575706,111.62216655605567,299.1949953204372,149.72755536767932,321.26053883719266,nan,nan,123.36112941536896,nan,331.2611210455098,nan,nan,nan,nan
231,0.9415438666045889,0.9267875588596393,0.9742771120758216,0.905804265585938,0.943400755921354,0.9012879828342754,0.8249106102109866,nan,nan,0.9755523018996966,0.9715522235075578,0.9688673103132158,nan,0.8735715480983675,nan,0.5800111665986185,nan,0.94854304388073,nan,nan,nan,nan
231_dis,59.99104491035197,161.42450358403795,74.62596325288962,90.50038361626898,108.0850201802185,182.12657426659342,214.78155485132325,nan,nan,148.4930695354257,97.5051217712788,167.21900117548603,nan,220.35192045773485,nan,309.0715823456903,nan,116.58073035519021,nan,nan,nan,nan
245,0.7875993194168956,nan,0.8387895889386331,0.8995434876922963,0.7814530114444964,0.8916615975660401,0.955591026309581,0.9147259836660129,0.9316021729965736,0.9099744300243416,0.9569207244002247,0.8986237684881843,0.9341227577537246,nan,0.16472345549455603,0.8425192628416904,nan,nan,0.9290550323848936,nan,nan,nan
245_dis,219.8589584304603,nan,157.17946910117396,158.63577434391593,112.63089512322388,71.81339658217723,43.85721750154609,82.8125789729021,103.49157436470033,78.12507893333624,260.55282715158427,126.28641402445142,280.5494870823532,nan,272.1228228009014,147.83557607430657,nan,nan,220.77845537176952,nan,nan,nan
246,0.5480356980169587,nan,nan,0.8222255529470568,0.7395861992195133,0.871352910317318,0.9067658003992889,0.967842036484519,0.8982138032719752,0.9023465922176739,0.6181955968449273,nan,0.2338207862262925,nan,nan,0.6137182467169893,nan,nan,nan,0.7498831684120087,nan,nan
246_dis,266.852480902675,nan,nan,200.15489910578435,156.3523667410026,95.97174229913206,52.42044847067761,46.03373582817498,88.50453435437592,116.30966833873867,304.2252555663176,nan,327.4220649573784,nan,nan,116.87762806952898,nan,nan,nan,106.25651388938019,nan,nan
247,0.886486803879235,0.81734230872564,0.7535168320145542,0.6388199490401082,0.5428057213875401,0.6321950703616322,nan,nan,nan,0.5089766266767167,0.8903009924299976,0.8361767079602649,0.9030882513570211,0.8662397743243107,nan,nan,nan,0.8984100946595317,nan,nan,0.7328150152218633,nan
247_dis,88.31903456759007,118.38833549641043,125.76163251713578,176.2514377348205,184.52331299921875,264.9194363890581,nan,nan,nan,227.34279671004649,144.92863534876523,259.2968026549107,89.28600530693271,133.1246647939951,nan,nan,nan,52.351699434650605,nan,nan,189.79299482883187,nan
270,0.9215856944610954,0.9105125971632416,0.9384106413131971,0.8853008829230147,0.7995832342456415,0.775072830219554,0.7122295678059047,0.6949753950774197,0.6075643304390776,0.8809824130525528,0.9227033386933777,0.8909422667066424,0.9408790615123467,0.8906100920079368,nan,0.5812993448853765,0.9643613516724253,0.9161190501606945,0.8608622219092074,nan,nan,nan
270_dis,118.28313917400818,189.3222395994281,114.38837535092442,184.60458254308224,170.88472796753223,243.72606303233852,253.88122461560724,306.6964317882077,315.8002295544563,206.59516074490622,193.8825182936487,255.48053685139877,149.78159607119824,189.6085927560989,nan,370.01476696498514,259.2415358445952,114.88757265305571,447.7165379882387,nan,nan,nan
317,nan,0.5382185906969119,0.8928288131498999,0.9618499322251933,0.9154155622664791,0.8591716395792824,0.5401766988245651,nan,nan,0.9712031069183942,0.8824388202546634,0.9302531678469407,0.7834788973733042,nan,nan,nan,nan,nan,nan,nan,nan,nan
317_dis,nan,233.11479437207632,67.372006365751,69.99403705980315,53.982329975506815,112.19537221617452,141.24435884102715,nan,nan,80.83781572178663,148.1029054704285,112.50340385994004,165.69669386725138,nan,nan,nan,nan,nan,nan,nan,nan,nan
337,0.7852225973438489,0.7327369416302693,0.830754902162137,0.8345821996338132,0.7636003707362067,0.8439113747649516,0.6834664352422741,0.8277459955770481,0.7976076850636546,0.870531236003165,0.8271024134391978,0.8228783833595245,0.8005591244313879,0.6908172631442073,nan,0.781617483157129,nan,0.7315169992707953,0.8029108714343799,0.28206396153207686,nan,0.2154865102739778
